description,industry,level,size,line_code,value,Unit,Footnotes
Importance of pricing of goods and services sold by this business dont know,Commercial fishing,2,total,C020105,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Forestry  logging,2,total,C020105,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Agriculture forestry  fishing support services,2,total,C020105,96,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Mining,1,total,C020105,6,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business dont know,Manufacturing,1,total,C020105,78,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Food beverage  tobacco,2,total,C020105,15,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Textile clothing footwear  leather,2,total,C020105,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Wood  paper product,2,total,C020105,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Printing publishing  recorded media,2,total,C020105,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Petroleum coal chemical  associated product,2,total,C020105,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Nonmetallic mineral product,2,total,C020105,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Metal product,2,total,C020105,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Transport and industrial machinery  equipment,2,total,C020105,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Other machinery  equipment,2,total,C020105,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Other manufacturing,2,total,C020105,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Electricity gas water  waste services,1,total,C020105,3,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business dont know,Construction,1,total,C020105,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Wholesale trade,1,total,C020105,57,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Machinery  equipment wholesaling,2,total,C020105,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Other wholesale trade,2,total,C020105,51,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Retail trade,1,total,C020105,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Accommodation  food services,1,total,C020105,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Transport postal  warehousing,1,total,C020105,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Information media  telecommunications,1,total,C020105,24,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Publishing,2,total,C020105,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Motion picture,2,total,C020105,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Telecommunications,2,total,C020105,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Financial  insurance services,1,total,C020105,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Finance,2,total,C020105,15,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Insurance,2,total,C020105,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Auxiliary,2,total,C020105,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Rental hiring  real estate services,1,total,C020105,81,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Professional scientific  technical services,1,total,C020105,135,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Computer systems design,2,total,C020105,39,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Other professional scientific,2,total,C020105,99,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Administrative  support services,1,total,C020105,48,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Education  training,1,total,C020105,54,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Health care  social assistance,1,total,C020105,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Arts  recreation services,1,total,C020105,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Other services,1,total,C020105,87,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,total,0,total,C020105,1494,Number of businesses,1 and 2 and 3 and 6
Importance of quality of goods and services produced by this business not important,total,0,619 employees,C020201,549,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of quality of goods and services produced by this business not important,total,0,2049 employees,C020201,114,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of quality of goods and services produced by this business not important,total,0,5099 employees,C020201,30,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of quality of goods and services produced by this business not important,total,0,100 employees,C020201,30,Number of businesses,1 and 2 and 3 and 4 and 6
